step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,errorBalanceOrig,errorBalanceDest,hora_del_dia,dia_de_la_semana,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,dest_type_M
1,7102.49,28010.0,20907.51,0.0,0.0,0,0.0,7102.49,1,0,0,0,1,0,1
1,584.52,15479.0,14894.48,0.0,0.0,0,0.0,584.52,1,0,0,0,1,0,1
1,113287.66,5422922.33,5536209.99,113563.29,0.0,0,226575.3200000003,226850.95,1,0,0,0,0,0,0
1,3236.86,21393.0,18156.14,0.0,0.0,0,0.0,3236.86,1,0,0,0,1,0,1
1,7273.9,31264.0,23990.1,161540.23,185389.8,0,0.0,-16575.669999999984,1,0,0,1,0,0,0
1,276094.92,984117.79,708022.87,280157.9,651524.92,0,0.0,-95272.09999999998,1,0,0,0,0,1,0
1,2871.89,653.0,0.0,0.0,0.0,0,2218.89,2871.89,1,0,0,0,1,0,1
1,6257.76,22163.0,15905.24,0.0,0.0,0,0.0,6257.76,1,0,0,0,1,0,1
1,32132.45,62491.91,30359.46,59605.0,0.0,0,0.0,91737.45,1,0,0,0,0,1,0
1,16859.52,0.0,0.0,0.0,0.0,0,16859.52,16859.52,1,0,0,0,1,0,1
1,151096.79,0.0,0.0,463533.54,60738.03,0,151096.79,553892.2999999999,1,0,1,0,0,0,0
1,202332.08,0.0,0.0,342149.2,3461666.05,0,202332.08,-2917184.7699999996,1,0,1,0,0,0,0
1,6983.76,11163.0,4179.24,9114.0,20285.79,0,0.0,-4188.030000000001,1,0,0,1,0,0,0
1,5843.74,0.0,0.0,0.0,0.0,0,5843.74,5843.74,1,0,0,0,1,0,1
1,3180.02,144141.0,140960.98,98247.27,54985.05,0,0.0,46442.240000000005,1,0,0,1,0,0,0
1,4867.56,30853.2,25985.64,0.0,0.0,0,0.0,4867.56,1,0,0,0,1,0,1
1,2875.1,15443.0,12567.9,0.0,0.0,0,0.0,2875.1,1,0,0,0,1,0,1
1,3563.36,185397.0,181833.64,0.0,0.0,0,0.0,3563.36,1,0,0,0,1,0,1
1,155608.53,4225977.8,4381586.33,371459.81,215851.28,0,311217.0600000005,311217.05999999994,1,0,0,0,0,0,0
